lag,logtau,logamp,rel_amp,mean,rel_mean
152.05112448636564,5.58834851688213,0.0,1.0,0.0,0.0
157.59797378846542,5.548362185384351,0.0,1.0,0.0,0.0
160.64244460173705,5.767361019534587,0.0,1.0,0.0,0.0
155.17687861933737,5.642194033740573,0.0,1.0,0.0,0.0
161.91490379055722,5.53928121194367,0.0,1.0,0.0,0.0
162.2093084639567,5.608420681163647,0.0,1.0,0.0,0.0
162.02819175130927,5.329384531850925,0.0,1.0,0.0,0.0
161.6703858058197,5.746024703064188,0.0,1.0,0.0,0.0
161.4883209350262,5.5988011879136295,0.0,1.0,0.0,0.0
162.01899202206394,5.708639542300286,0.0,1.0,0.0,0.0
157.1376917834227,5.685699346686138,0.0,1.0,0.0,0.0
161.62596958566579,5.7568621734578915,0.0,1.0,0.0,0.0
151.85538299786867,5.71392530245654,0.0,1.0,0.0,0.0
158.85021968395236,5.860897031502291,0.0,1.0,0.0,0.0
161.19545794744778,5.673550534477237,0.0,1.0,0.0,0.0
162.11051241277457,5.609144687880791,0.0,1.0,0.0,0.0
160.1670447405744,5.935966432112055,0.0,1.0,0.0,0.0
160.4642901495349,5.475451997381469,0.0,1.0,0.0,0.0
160.53564853631815,5.745372248902131,0.0,1.0,0.0,0.0
161.00822173485577,5.490138126131569,0.0,1.0,0.0,0.0
149.11880715253926,5.4906584668819916,0.0,1.0,0.0,0.0
161.88753251169905,5.772403713431968,0.0,1.0,0.0,0.0
154.5628073164804,5.516014118906617,0.0,1.0,0.0,0.0
162.6041050858376,5.430974643136144,0.0,1.0,0.0,0.0
160.60740874663225,5.615755698554578,0.0,1.0,0.0,0.0
162.24851083196788,6.0250026278458915,0.0,1.0,0.0,0.0
159.36413265899196,5.447387533001589,0.0,1.0,0.0,0.0
162.17944212146693,5.694889476427391,0.0,1.0,0.0,0.0
162.39340931520744,5.596608547788769,0.0,1.0,0.0,0.0
155.5277008288776,5.7828458221589685,0.0,1.0,0.0,0.0
157.91743972485116,5.750496357713532,0.0,1.0,0.0,0.0
162.56930441803468,5.553990418948915,0.0,1.0,0.0,0.0
161.1088241320649,5.6783881783013825,0.0,1.0,0.0,0.0
155.08742603050823,5.525267772249235,0.0,1.0,0.0,0.0
151.52039821862758,5.394477419406308,0.0,1.0,0.0,0.0
158.41652083533626,5.647624206585364,0.0,1.0,0.0,0.0
160.9310027968192,5.763884137049164,0.0,1.0,0.0,0.0
159.2745560294913,5.937802633341605,0.0,1.0,0.0,0.0
161.3387146498835,6.088076093430726,0.0,1.0,0.0,0.0
